Channel Name,Subscribers,Total Views,Average Likes,Average Comments,Engagement Rate,Upload Frequency,Video Titles
Learn With Lokesh Lalwani,1320000,59583787,5317,631,0.01,6,"['Help business to create content using AI 🚀', 'Earn Second Salary by running a Faceless YouTube channel 🚀', 'Earn upto Rs. 2000 using AI  🔥', 'Earn upto Rs. 1794 per day as Second Salary in 2025 🚀', 'Smartest way to earn upto Rs. 1350 per day as Second Salary in 2025 🚀', 'Earn upto Rs. 900 per day as Second Salary in 2025 🚀🚀', 'Part Time Trick to Earn upto ₹450 per hour from Home in 2025 🔥📈', '#1 Excel trick to earn upto Rs. 1299 per project as Second Salary in 2025 🚀', 'SALES JOB to DATA ANALYST 🚀 earning 💸💸 LPA', 'Smartest way to earn upto Rs. 1739 per day as Second Salary in 2025 🚀']"
Skillsiya,970000,69710221,2557,76,0.0038,5,"['This FREE AI Tool Changed How You Learn Forever 🔥 | NotebookLM Full Tutorial', 'Top 6 High Paying AI-Proof Tech Skills | 97 Million Jobs Coming By 2030🔥', 'Google 10+ FREE AI Courses 🔥 | FREE Certificates & Cash Rewards, Gifts 🎁', '5 High-Paying Skills for 6-Figure Income (No Degree Required!)', 'ये 6 Best Computer Courses जीवन बदल देंगी ! 2025 | After 10th & 12th | सबसे अधिक Salary', '🔥 FREE 35,000+ Internship LIVE! | Stipend ₹3.6 Lakh + Job Offer – Biggest Fair, Don’t Miss!', '🔥 ISRO Free Python Course with Certification | Master Python, AI & ML | Don’t Miss🚀', 'Cyber Security Expert FREE में कैसे बने? | Google, IBM, TATA Job Ready Courses 🔥 (2025)', 'FREE Online Courses ✅ Get Certified & Job-Ready in 2025!', 'ये 7 High-Value Skills ज़िंदगी बदल देगी! | Everyone Must-Learn in AI Era 2025']"
Anurag Aggarwal: Business Coach,5240000,1973396673,65593,305,0.0033,7,"['Kill your loan fast | Anurag Aggarwal | In Hindi #loan', 'Ultimate Guide To Health Insurance 2025 | Anurag Aggarwal | In Hindi #healthinsurance', 'Top 10 selling cars (Jan 2025) | Anurag Aggarwal | #top10 #cars #2025', 'Top 10 stock exchanges worldwide | Anurag Aggarwal | #top10 #stockmarket', 'Top 5 pharma companies by market cap | Anurag Aggarwal | #top10 #vs', 'Top 10 car companies | Anurag Aggarwal', 'Name countries that start and end with same letter | Anurag Aggarwal', 'Top 10 peaceful countries in 2024 | Anurag Aggarwal', 'Top 10 Greatest Men of all Times | Anurag Aggarwal', 'Zerodha VS Fyers VS Dhan | Anurag Aggarwal']"
Spreading Gyan,4480000,335350998,6465,1606,0.0024,5,"['Youtube Channel Kaise Banaye | youtube channel kaise banaen 2025 | How To Create A Youtube Channel', '🤬 Reply To HATERS', 'सब खत्म 😭 2 Community Guidelines Strike ek sath aaya | Channel Delete हो जाएगा मेरा | Please HELP', '🎥 Copyright-Free Shorts से पैसे कैसे कमाएँ? | Reused Content को Monetize करें सही तरीके से!', 'How To Open Demat Account | How To Open Trading Account | Demat Account Kaise Khole', '🔴Live Proof 👉1 Views पर  ₹1 😱 Kitne View Par Kitna Paisa Milta Hai #shorts #spreadinggyan #earning', 'SUBSCRIBERS की बारिश 😲Shorts का New Channel बनाकर Grow करना है तो ये Trick लगाओ || 7 दिन मे VIRAL', '😱""पहला Shorts डालते ही आया Growth? 📈 ऐसी Strategy आजमाओ और Channel Grow करो | Spreading Gyan', '😱आपके YouTube CHANNEL का SETTING ही गड़बड़ है, इसलिए ❌️VIEWS ❌️SUBSCRIBER नही आ रहे ? Spreading Gyan', '😱अगर 90 दीन मे ❌️1000 SUBSCRIBER ❌️10M VIEWS पूरा नही हुआ तो क्या करना होगा ? Youtube Shorts Policy']"
CA Rahul Malodia: Business Coach,6590000,1044360611,25195,224,0.0024,16,"['एक गलती कैसे Business को पड़ती है भारी ! #shorts #trending #startups', 'The Real Story of Groww | From Zero to ₹70,000 Crore Empire | Case Study', 'Stock Market का हाल बेहाल! #shorts #stockmarket #stocks', 'अब घूमने के भी सरकार देगी पैसे !  #onlineearning #travel #traveling', 'Ram Mandir, Waqf Board, Babri Masjid & Bulldozer Baba Ft. Shantanu Gupta #shorts', 'Adani group को तोड़ने की साजिश हुई Fail ! #adanigroup #adani', 'BlinkIT बना Zomato के लिए वरदान? #shorts #swiggy #trending', 'आखिर कैसे होती है Films की marketing ? कैसे बनती है Film Superhit? #films #movies #trending', 'अब चुप नहीं बैठेगा India !  | Pahalgam Terror Attack #pahalgam #pahalgamattack', 'HUL vs Honasa: Brand War! #shorts #trending #unilever']"
SJ SEARCHING,777000,8071043,155,33,0.0023,5,"['SuperFast Trick | Instagram Followers Kaise Badhaye | Instagram Par Followers Kaise Badhaye 2025', 'Instagram Follower Kaise Badhaye | instagram Par Followers Kaise Badhaye | Free instagram followers', 'Instagram Follower Kaise Badhaye | Instagram Par Followers Kaise Badhaye | Free instagram Followers', 'Instagram Follower Kaise Badhaye | Instagram Par Followers Kaise Badhaye | Free Instagram Followers', 'Instagram follower kaise badhaye | instagram Par followers Kaise badhaye | Free Instagram Followers', 'Instagram follower Kaise Badhaye | Instagram Par Followers Kaise Badhaye | Free instagram followers', 'Instagram Follower Kaise Badhaye 2025 | Instagram Par Followers Kaise Badhaye | Instagram Followers', 'Instagram Follower Kaise Badhaye | Instagram Par Followers Kaise Badhaye | Free Instagram Followers', 'Instagram follower kaise Badhaye | instagram par Followers Kaise Badhaye | Free Instagram Followers', 'Instagram Follower Kaise Badhaye | Instagram Par Followers Kaise Badhaye | Free instagram Followers']"
Manoj Dey,7010000,1001951068,9005,2834,0.0012,17,"['Long से ज़्यादा पैसा Shorts में 😱 Live Earning Proof | 100K Shorts Views = कितना पैसा ?', 'Complete 1000 Subscribers & 4000 Watchtime in Just 30 Days | New Trick | 100% Working', 'मेरा Monetisation Disabled हो गया 😭 अब Paisa नहीं आयेगा 🙏🏻', 'Good News | Facebook Content Monetisation सबको मिल रहा है 🤩 Facebook Monetisation Big Update🔥', 'Youtube की मनमानी 🤬 Anurag Dwivedi Got 3 Strikes !!', 'ये गलती मत करना Channel Monetise नहीं होगा !! Reused Content Policy 2025', 'Mercedes कितने की पड़ी ? पढ़ाई करे या Youtube ? QNA', 'Sourav Joshi Reality ? Exposed || 5 Cr का Car Collection 🤡', 'इससे अच्छा कोई Mic नहीं ! Dji Wireless Mic For YouTube Videos 🔥', 'Auto-Dubbed क्या है ? कैसे Enable करे ? New Update 2025 🔥']"
bekifaayati,1870000,549948196,4696,50,0.0009,18,"['GST on UPI Transactions', '2 FREE Flight Tickets || Best Travel Credit Card', 'Best HDFC Credit Card ||  HDFC Credit Card - Best in 2025', 'Should You Rent or Buy a House? What Makes More Sense in 2025', 'Pay 2X for your Car', 'Challan Kat Gaya', 'SIP ka Sacch', 'Home Loan Prepayment Penalty', 'Car Modification Rules', 'BEST Health Insurance Plans 2025 : Niva Bupa Health Insurance vs HDFC Ergo Optima Secure']"
SOCIALEPFO,1670000,12697734,89,1,0.0007,9,"['Avail EPFO services through the UMANG app using your smart devices.', 'Income Tax Provisions on EPF | Part 3 - Form 15G/15H', 'EPFO QUIZ TIME', 'EPFO Quiz Time', 'Nidhi Aapke Nikat 2.0 Camp | Goa', 'Nidhi Aapke Nikat 2.0 Camps Glimpses', 'Live Session on ""EPF Claims: Types & Processes and UAN Allotment & Activation Using UMANG App""', 'Nidhi Aapke Nikat 2.0 camp | Mumbai Suburban, Maharashtra', 'Modify Date of Joining/Exit in EPF Account Hassle-free', ""Income Tax Provisions on EPF | Part 2 - Employee's Contribution""]"
We Make Creators,1130000,128358844,638,184,0.0006,16,"['Live Channel Checking || Friday Special Live Channel Checking || Channel Promotion', 'Live Channel Checking || Friday Special Live Channel Checking || Channel Promotion', '2025 में Viral होने वाले Niche || पैसा और Views भर भर कर आयेगा || Top 3 Viral Niche Ideas of 2025', 'Seo से Viral करे Shorts Video || Shorts Video Seo kaise kare || Youtube Shorts SEO 2025 Tutorials', 'सबसे Fast Grow होने वाले Shorts Channel Ideas ll Top 10 Shorts Channel Ideas ll Grow Shorts Channel', 'कोई भी Video बस 24 Hour में Viral करे || How to Viral YouTube Video In our Niche - Viral secrets', 'सबका Channel Checking होगा || LIVE Channel Checking || Live Channel Checking And Free Promotion', '90 Days में कोई भी Channel Grow करो || How To Grow Channel In 90 Days || 10 Pro Tips For Youtuber', 'JioHotstar Domain वाले बच्चो कि Real Story || 2 Smart Kids Vs JioHotstar || Jainam & Jivika Podcast', '10K Followers से Rs 50,000 Earn करे || Instagram Se Paise kaise Kamaye || How To Grow On Instagram']"
